Subject,Fold,Test_Acc,Best_Inner_Acc,Best_Time_Start,Best_Time_End,Best_Freq_Low,Best_Freq_High
1,1,0.4642857142857143,0.7090909090909092,0.5,1.5,10.0,14.0
1,2,0.5714285714285714,0.6636363636363636,0.0,1.0,28.0,32.0
1,3,0.35714285714285715,0.6727272727272726,0.5,1.0,12.0,16.0
1,4,0.48148148148148145,0.7027667984189723,0.0,1.5,8.0,12.0
1,5,0.48148148148148145,0.7395256916996048,0.0,1.0,12.0,16.0
2,1,0.6428571428571429,0.7056277056277056,0.0,1.5,34.0,38.0
2,2,0.5185185185185185,0.6601731601731602,0.25,0.75,8.0,12.0
2,3,0.3333333333333333,0.6610389610389611,1.5,3.0,8.0,12.0
2,4,0.4074074074074074,0.6683982683982684,0.25,0.75,8.0,12.0
2,5,0.4444444444444444,0.7523809523809524,2.5,3.0,8.0,12.0
3,1,0.6785714285714286,0.806060606060606,0.0,1.5,8.0,12.0
3,2,0.6428571428571429,0.7891774891774892,0.0,1.0,10.0,14.0
3,3,0.6666666666666666,0.7454545454545454,0.5,1.5,8.0,12.0
3,4,0.8148148148148148,0.7545454545454544,0.0,1.5,8.0,12.0
3,5,0.6296296296296297,0.7545454545454545,0.5,1.5,8.0,12.0
4,1,0.5,0.6790476190476189,0.5,1.0,14.0,18.0
4,2,0.38461538461538464,0.6595238095238095,1.0,1.5,36.0,40.0
4,3,0.7692307692307693,0.67,0.0,1.5,22.0,26.0
4,4,0.5384615384615384,0.6704761904761904,2.5,3.5,32.0,36.0
4,5,0.44,0.7223809523809523,1.0,2.0,8.0,12.0
5,1,0.46153846153846156,0.6614285714285714,1.75,2.25,10.0,14.0
5,2,0.5,0.7080952380952381,0.25,0.75,10.0,14.0
5,3,0.5,0.7004761904761905,0.0,0.5,8.0,12.0
5,4,0.4230769230769231,0.7266666666666667,1.0,2.0,20.0,24.0
5,5,0.64,0.7209523809523809,0.75,1.25,36.0,40.0
6,1,0.4782608695652174,0.7222222222222222,0.0,1.5,12.0,16.0
6,2,0.5652173913043478,0.6888888888888889,1.0,1.5,24.0,28.0
6,3,0.391304347826087,0.6777777777777778,0.75,1.25,20.0,24.0
6,4,0.5,0.7029239766081872,1.5,2.0,28.0,32.0
6,5,0.5,0.7146198830409356,1.0,1.5,26.0,30.0
7,1,0.6666666666666666,0.6800865800865801,1.0,2.0,8.0,12.0
7,2,0.7777777777777778,0.6692640692640692,1.0,2.0,10.0,14.0
7,3,0.4074074074074074,0.6329004329004329,1.5,2.5,24.0,28.0
7,4,0.4230769230769231,0.6718614718614717,0.75,2.25,34.0,38.0
7,5,0.4230769230769231,0.690909090909091,2.0,2.5,24.0,28.0
8,1,0.6296296296296297,0.7619047619047619,1.25,1.75,8.0,12.0
8,2,0.7037037037037037,0.7142857142857142,1.0,2.0,8.0,12.0
8,3,0.6538461538461539,0.7632034632034632,0.25,0.75,6.0,10.0
8,4,0.8076923076923077,0.7744588744588745,1.25,1.75,8.0,12.0
8,5,0.5,0.7255411255411255,0.25,0.75,6.0,10.0
9,1,0.7083333333333334,0.856140350877193,0.0,1.5,20.0,24.0
9,2,0.6521739130434783,0.7847953216374268,0.5,1.5,20.0,24.0
9,3,0.7391304347826086,0.7970760233918128,0.0,1.5,10.0,14.0
9,4,0.6521739130434783,0.7964912280701755,0.5,1.0,20.0,24.0
9,5,0.43478260869565216,0.8269005847953217,0.0,1.5,28.0,32.0
